Transaction ID,Sales Date,Product Name,Category,Store,Region,Quantity,Sales Value,Cost,Sales Target
TX2501029447,2025-01-02,Lamb Stew,RTE,Johannesburg,Gauteng,11,1237.47,700.61,1340.43
TX2501023071,2025-01-02,Russians,Processed,Nelspruit,Mpumalanga,7,316.73,191.82,337.62
TX2501026712,2025-01-02,Chicken Wings,Fresh,Nelspruit,Mpumalanga,7,402.44,252.43,382.8
TX2501029423,2025-01-02,Beef Mince,Fresh,Nelspruit,Mpumalanga,14,1269.47,781.06,1394.48
TX2501023010,2025-01-02,Boerewors,Processed,Nelspruit,Mpumalanga,19,1283.26,805.67,1236.02
TX2501027947,2025-01-02,Rump Steak,Fresh,Polokwane,Limpopo,9,1199.65,676.81,1258.86
TX2501021287,2025-01-02,Chicken Wings,Fresh,Pretoria,Gauteng,5,267.88,180.73,249.3
TX2501022613,2025-01-02,Mini Ribs,RTE,Johannesburg,Gauteng,19,1754.34,1016.58,1687.79
TX2501024902,2025-01-02,Rump Steak,Fresh,Nelspruit,Mpumalanga,10,1350.1,745.38,1277.1
TX2501033668,2025-01-03,Beef Mince,Fresh,Polokwane,Limpopo,15,1371.11,896.9,1393.35
TX2501032797,2025-01-03,Pork Chops,Fresh,Pretoria,Gauteng,10,796.8,526.56,738.01
TX2501039757,2025-01-03,Chicken Wings,Fresh,Polokwane,Limpopo,14,762.11,475.01,786.93
TX2501039599,2025-01-03,Beef Mince,Fresh,Pretoria,Gauteng,11,1089.39,603.23,1101.42
TX2501037738,2025-01-03,Boerewors,Processed,Johannesburg,Gauteng,6,375.97,261.27,383.19
TX2501039396,2025-01-03,Chicken Wings,Fresh,Polokwane,Limpopo,10,548.21,366.05,495.34
TX2501035166,2025-01-03,Lamb Stew,RTE,Polokwane,Limpopo,8,906.12,570.51,925.33
TX2501038808,2025-01-03,Boerewors,Processed,Nelspruit,Mpumalanga,23,1481.93,898.24,1459.96
TX2501035778,2025-01-03,Mini Ribs,RTE,Johannesburg,Gauteng,3,265.77,155.61,278.85
TX2501038348,2025-01-03,Boerewors,Processed,Nelspruit,Mpumalanga,26,1616.75,1033.37,1502.34
TX2501039236,2025-01-03,Boerewors,Processed,Nelspruit,Mpumalanga,7,438.8,252.24,419.91
TX2501032382,2025-01-03,Rump Steak,Fresh,Johannesburg,Gauteng,5,642.68,358.81,600.86
TX2501038227,2025-01-03,Russians,Processed,Polokwane,Limpopo,14,641.39,383.36,641.97
TX2501038874,2025-01-03,Chicken Wings,Fresh,Johannesburg,Gauteng,8,419.91,242.38,397.8
TX2501033540,2025-01-03,Boerewors,Processed,Polokwane,Limpopo,19,1224.66,742.2,1230.48
TX2501031914,2025-01-03,Mini Ribs,RTE,Nelspruit,Mpumalanga,17,1445.21,995.35,1329.34
TX2501033885,2025-01-03,Russians,Processed,Nelspruit,Mpumalanga,14,660.21,440.31,679.02
TX2501038010,2025-01-03,Russians,Processed,Johannesburg,Gauteng,11,496.79,311.55,532.32
TX2501044465,2025-01-04,Chicken Wings,Fresh,Nelspruit,Mpumalanga,12,644.59,368.04,641.74
TX2501045544,2025-01-04,Boerewors,Processed,Pretoria,Gauteng,20,1282.78,768.54,1251.86
TX2501047171,2025-01-04,Beef Mince,Fresh,Polokwane,Limpopo,10,992.64,682.39,988.85
TX2501045402,2025-01-04,Russians,Processed,Pretoria,Gauteng,14,651.96,437.24,656.23
TX2501046695,2025-01-04,Lamb Stew,RTE,Nelspruit,Mpumalanga,8,900.67,522.71,935.76
TX2501046725,2025-01-04,Pork Chops,Fresh,Nelspruit,Mpumalanga,12,946.71,623.75,868.04
TX2501049422,2025-01-04,Mini Ribs,RTE,Johannesburg,Gauteng,11,1023.92,686.16,1043.1
TX2501041810,2025-01-04,Chicken Wings,Fresh,Nelspruit,Mpumalanga,8,459.63,293.48,422.4
TX2501046544,2025-01-04,Beef Mince,Fresh,Johannesburg,Gauteng,8,764.94,486.4,759.74
TX2501045658,2025-01-04,Lamb Stew,RTE,Johannesburg,Gauteng,12,1359.5,870.0,1476.75
TX2501042077,2025-01-04,Chicken Wings,Fresh,Nelspruit,Mpumalanga,4,210.93,136.83,207.5
TX2501047643,2025-01-04,Rump Steak,Fresh,Nelspruit,Mpumalanga,16,2124.07,1411.19,2026.59
TX2501044277,2025-01-04,Rump Steak,Fresh,Nelspruit,Mpumalanga,11,1434.16,820.58,1559.26
TX2501042583,2025-01-04,Pork Chops,Fresh,Pretoria,Gauteng,11,877.71,605.99,926.91
TX2501045313,2025-01-04,Pork Chops,Fresh,Johannesburg,Gauteng,12,981.55,645.53,1070.12
TX2501042104,2025-01-04,Chicken Wings,Fresh,Polokwane,Limpopo,23,1282.34,818.44,1330.07
TX2501041110,2025-01-04,Mini Ribs,RTE,Johannesburg,Gauteng,18,1654.13,983.06,1640.42
TX2501047643,2025-01-04,Beef Mince,Fresh,Pretoria,Gauteng,14,1385.65,785.09,1523.39
TX2501048911,2025-01-04,Russians,Processed,Polokwane,Limpopo,9,418.64,236.93,460.43
TX2501047125,2025-01-04,Mini Ribs,RTE,Johannesburg,Gauteng,12,1024.26,567.8,971.17
TX2501042287,2025-01-04,Rump Steak,Fresh,Pretoria,Gauteng,12,1571.11,1078.72,1620.21
TX2501048379,2025-01-04,Rump Steak,Fresh,Polokwane,Limpopo,11,1418.42,950.66,1344.25
TX2501048643,2025-01-04,Pork Chops,Fresh,Pretoria,Gauteng,8,642.78,442.98,677.76
TX2501045105,2025-01-04,Russians,Processed,Johannesburg,Gauteng,18,772.75,439.49,773.45
TX2501047705,2025-01-04,Boerewors,Processed,Johannesburg,Gauteng,12,807.39,462.86,845.28
TX2501045702,2025-01-04,Mini Ribs,RTE,Polokwane,Limpopo,10,908.68,583.13,827.72
TX2501046546,2025-01-04,Rump Steak,Fresh,Polokwane,Limpopo,14,1962.6,1288.32,1834.3
TX2501046327,2025-01-04,Beef Mince,Fresh,Polokwane,Limpopo,9,896.04,598.21,920.49
TX2501046151,2025-01-04,Chicken Wings,Fresh,Nelspruit,Mpumalanga,13,746.89,444.55,758.54
TX2501042421,2025-01-04,Pork Chops,Fresh,Johannesburg,Gauteng,10,814.37,510.0,798.74
TX2501045267,2025-01-04,Boerewors,Processed,Nelspruit,Mpumalanga,22,1377.68,815.19,1323.87
TX2501049742,2025-01-04,Pork Chops,Fresh,Pretoria,Gauteng,13,1027.65,628.22,969.61
TX2501046294,2025-01-04,Chicken Wings,Fresh,Nelspruit,Mpumalanga,6,314.69,192.83,313.06
TX2501046306,2025-01-04,Boerewors,Processed,Polokwane,Limpopo,7,457.99,296.41,471.95
TX2501043845,2025-01-04,Lamb Stew,RTE,Johannesburg,Gauteng,10,1105.41,679.51,1133.27
TX2501055614,2025-01-05,Beef Mince,Fresh,Nelspruit,Mpumalanga,19,1874.75,1290.13,1876.11
TX2501055673,2025-01-05,Lamb Stew,RTE,Johannesburg,Gauteng,8,863.67,539.03,797.32
TX2501051648,2025-01-05,Russians,Processed,Polokwane,Limpopo,17,731.0,432.82,706.75
TX2501059124,2025-01-05,Chicken Wings,Fresh,Polokwane,Limpopo,16,901.36,607.59,965.64
TX2501054349,2025-01-05,Mini Ribs,RTE,Pretoria,Gauteng,16,1438.36,816.92,1399.5
TX2501054819,2025-01-05,Pork Chops,Fresh,Nelspruit,Mpumalanga,24,1922.94,1255.97,2001.94
TX2501054490,2025-01-05,Beef Mince,Fresh,Nelspruit,Mpumalanga,12,1084.22,630.32,1089.66
TX2501059282,2025-01-05,Chicken Wings,Fresh,Polokwane,Limpopo,8,454.8,288.07,485.64
TX2501059911,2025-01-05,Rump Steak,Fresh,Nelspruit,Mpumalanga,11,1477.31,899.51,1353.23
TX2501059269,2025-01-05,Russians,Processed,Nelspruit,Mpumalanga,13,583.21,336.59,630.7
TX2501051401,2025-01-05,Boerewors,Processed,Nelspruit,Mpumalanga,4,254.59,158.74,258.99
TX2501058564,2025-01-05,Lamb Stew,RTE,Pretoria,Gauteng,8,857.44,553.6,883.02
TX2501057031,2025-01-05,Russians,Processed,Pretoria,Gauteng,11,473.13,286.24,476.87
TX2501055781,2025-01-05,Rump Steak,Fresh,Pretoria,Gauteng,13,1751.94,1187.47,1753.62
TX2501059185,2025-01-05,Russians,Processed,Pretoria,Gauteng,8,372.61,223.97,372.52
TX2501059982,2025-01-05,Russians,Processed,Johannesburg,Gauteng,7,311.8,200.99,291.69
TX2501054049,2025-01-05,Rump Steak,Fresh,Polokwane,Limpopo,15,1928.78,,1908.8
TX2501054739,2025-01-05,Chicken Wings,Fresh,Pretoria,Gauteng,4,209.16,137.09,214.76
TX2501059835,2025-01-05,Beef Mince,Fresh,Johannesburg,Gauteng,18,1706.15,1133.25,1843.78
TX2501055146,2025-01-05,Pork Chops,Fresh,Johannesburg,Gauteng,6,481.2,272.9,503.57
TX2501054960,2025-01-05,Russians,Processed,Nelspruit,Mpumalanga,7,319.85,222.45,350.85
TX2501056732,2025-01-05,Boerewors,Processed,Pretoria,Gauteng,21,1399.12,795.51,1270.67
TX2501057995,2025-01-05,Beef Mince,Fresh,Johannesburg,Gauteng,9,896.51,555.61,982.2
TX2501052997,2025-01-05,Boerewors,Processed,Pretoria,Gauteng,9,560.71,375.85,608.34
TX2501058402,2025-01-05,Pork Chops,Fresh,Pretoria,Gauteng,14,1078.1,600.83,993.85
TX2501051073,2025-01-05,Rump Steak,Fresh,Johannesburg,Gauteng,4,554.78,366.66,588.16
TX2501051440,2025-01-05,Russians,Processed,Pretoria,Gauteng,8,364.39,247.32,328.28
TX2501057836,2025-01-05,Rump Steak,Fresh,Johannesburg,Gauteng,8,1029.2,704.33,1064.52
TX2501068015,2025-01-06,Beef Mince,Fresh,Polokwane,Limpopo,1,93.56,55.65,95.25
TX2501064572,2025-01-06,Russians,Processed,Pretoria,Gauteng,10,467.4,270.22,428.59
TX2501065801,2025-01-06,Lamb Stew,RTE,Pretoria,Gauteng,4,453.53,269.6,445.18
TX2501062231,2025-01-06,Rump Steak,Fresh,Johannesburg,Gauteng,15,2125.76,1392.65,2166.24
TX2501064096,2025-01-06,Mini Ribs,RTE,Pretoria,Gauteng,10,889.73,538.11,812.71
TX2501062817,2025-01-06,Boerewors,Processed,Pretoria,Gauteng,13,841.05,542.63,814.69
TX2501065527,2025-01-06,Chicken Wings,Fresh,Pretoria,Gauteng,3,169.16,100.26,182.59
TX2501063115,2025-01-06,Pork Chops,Fresh,Pretoria,Gauteng,3,243.57,153.31,255.37
TX2501068690,2025-01-06,Boerewors,Processed,Johannesburg,Gauteng,13,828.05,495.48,770.99
TX2501068867,2025-01-06,Boerewors,Processed,Pretoria,Gauteng,13,850.2,568.61,898.46
TX2501066300,2025-01-06,Lamb Stew,RTE,Pretoria,Gauteng,15,1731.63,1163.99,1871.04
TX2501068087,2025-01-06,Lamb Stew,RTE,Pretoria,Gauteng,9,996.15,563.11,1026.62
TX2501062256,2025-01-06,Beef Mince,Fresh,Nelspruit,Mpumalanga,13,1226.72,851.3,1129.32
TX2501061369,2025-01-06,Mini Ribs,RTE,Pretoria,Gauteng,1,85.13,52.63,85.4
TX2501066719,2025-01-06,Russians,Processed,Pretoria,Gauteng,10,432.52,241.81,449.66
TX2501062862,2025-01-06,Chicken Wings,Fresh,Pretoria,Gauteng,14,761.85,466.63,685.92
TX2501061999,2025-01-06,Beef Mince,Fresh,Polokwane,Limpopo,6,541.57,337.63,523.49
TX2501064881,2025-01-06,Pork Chops,Fresh,Pretoria,Gauteng,10,806.61,475.14,777.97
TX2501063999,2025-01-06,Pork Chops,Fresh,Polokwane,Limpopo,4,317.72,190.51,345.07
TX2501061437,2025-01-06,Boerewors,Processed,Pretoria,Gauteng,6,398.25,228.03,362.2
TX2501069395,2025-01-06,Beef Mince,Fresh,Polokwane,Limpopo,13,1174.39,651.43,1082.94
TX2501066580,2025-01-06,Boerewors,Processed,Johannesburg,Gauteng,17,1112.65,710.46,1190.41
TX2501065119,2025-01-06,Chicken Wings,Fresh,Polokwane,Limpopo,16,890.48,593.01,953.79
TX2501063288,2025-01-06,Boerewors,Processed,Pretoria,Gauteng,10,647.04,414.44,709.76
TX2501065933,2025-01-06,Mini Ribs,RTE,Pretoria,Gauteng,7,611.69,391.55,576.99
TX2501078756,2025-01-07,Pork Chops,Fresh,Pretoria,Gauteng,15,1120.64,674.59,1012.84
TX2501072489,2025-01-07,Mini Ribs,RTE,Johannesburg,Gauteng,5,454.26,300.17,437.65
TX2501077986,2025-01-07,Mini Ribs,RTE,Nelspruit,Mpumalanga,18,1542.09,1008.47,1441.22
TX2501075565,2025-01-07,Boerewors,Processed,Nelspruit,Mpumalanga,5,308.88,170.65,339.34
TX2501071819,2025-01-07,Pork Chops,Fresh,Johannesburg,Gauteng,12,973.19,613.53,996.9
TX2501073458,2025-01-07,Rump Steak,Fresh,Polokwane,Limpopo,8,1090.21,647.82,1125.89
TX2501072406,2025-01-07,Rump Steak,Fresh,Nelspruit,Mpumalanga,11,1499.21,1021.09,1425.35
TX2501076496,2025-01-07,Boerewors,Processed,Johannesburg,Gauteng,6,385.95,251.5,403.38
TX2501072347,2025-01-07,Russians,Processed,Johannesburg,Gauteng,11,518.93,325.47,468.33
TX2501078163,2025-01-07,Chicken Wings,Fresh,Polokwane,Limpopo,13,708.42,399.63,763.63
TX2501074236,2025-01-07,Lamb Stew,RTE,Pretoria,Gauteng,13,1379.86,795.86,1296.94
TX2501078729,2025-01-07,Rump Steak,Fresh,Nelspruit,Mpumalanga,13,1704.48,1057.58,1784.08
TX2501071798,2025-01-07,Lamb Stew,RTE,Nelspruit,Mpumalanga,12,1322.25,872.25,1397.08
TX2501076128,2025-01-07,Lamb Stew,RTE,Nelspruit,Mpumalanga,6,686.66,466.82,727.6
TX2501075101,2025-01-07,Pork Chops,Fresh,Polokwane,Limpopo,19,1518.1,1057.94,1480.8
TX2501077473,2025-01-07,Mini Ribs,RTE,Nelspruit,Mpumalanga,11,968.68,579.14,989.75
TX2501076181,2025-01-07,Pork Chops,Fresh,Johannesburg,Gauteng,8,630.35,390.91,592.12
TX2501074394,2025-01-07,Rump Steak,Fresh,Pretoria,Gauteng,13,1690.26,970.94,1752.65
TX2501072783,2025-01-07,Mini Ribs,RTE,Pretoria,Gauteng,15,1300.77,862.44,1399.9
TX2501073502,2025-01-07,Mini Ribs,RTE,Pretoria,Gauteng,16,1379.25,866.59,1370.54
TX2501071808,2025-01-07,Chicken Wings,Fresh,Pretoria,Gauteng,13,713.68,462.38,713.04
TX2501071996,2025-01-07,Rump Steak,Fresh,Nelspruit,Mpumalanga,11,1454.52,966.85,1564.11
TX2501074193,2025-01-07,Russians,Processed,Nelspruit,Mpumalanga,16,754.73,423.23,700.06
TX2501073739,2025-01-07,Rump Steak,Fresh,Nelspruit,Mpumalanga,9,1166.03,789.25,1193.26
TX2501075088,2025-01-07,Chicken Wings,Fresh,Johannesburg,Gauteng,9,482.79,327.23,490.92
TX2501077615,2025-01-07,Boerewors,Processed,Johannesburg,Gauteng,14,898.28,548.6,944.99
TX2501074675,2025-01-07,Mini Ribs,RTE,Nelspruit,Mpumalanga,19,1765.66,1208.45,1624.55
TX2501073380,2025-01-07,Mini Ribs,RTE,Pretoria,Gauteng,6,516.88,316.35,511.7
TX2501076168,2025-01-07,Boerewors,Processed,Polokwane,Limpopo,16,1076.54,646.89,1083.18
TX2501073235,2025-01-07,Russians,Processed,Johannesburg,Gauteng,2,86.95,60.08,93.7
TX2501075063,2025-01-07,Mini Ribs,RTE,Nelspruit,Mpumalanga,11,978.08,616.66,965.28
TX2501072185,2025-01-07,Pork Chops,Fresh,Pretoria,Gauteng,12,978.33,608.82,1067.01
TX2501072479,2025-01-07,Boerewors,Processed,Polokwane,Limpopo,14,883.4,489.85,816.08
TX2501079250,2025-01-07,Beef Mince,Fresh,Polokwane,Limpopo,16,1536.44,952.21,1505.85
TX2501082684,2025-01-08,Pork Chops,Fresh,Johannesburg,Gauteng,1,80.48,53.22,79.98
TX2501086031,2025-01-08,Russians,Processed,Polokwane,Limpopo,14,620.01,372.85,656.52
TX2501086603,2025-01-08,Mini Ribs,RTE,Johannesburg,Gauteng,11,1007.75,586.3,1093.16
TX2501085973,2025-01-08,Pork Chops,Fresh,Pretoria,Gauteng,11,815.3,482.77,743.89
TX2501085123,2025-01-08,Rump Steak,Fresh,Pretoria,Gauteng,12,1563.68,1008.33,1530.19
TX2501087475,2025-01-08,Boerewors,Processed,Nelspruit,Mpumalanga,7,465.29,301.97,474.57
TX2501085254,2025-01-08,Chicken Wings,Fresh,Polokwane,Limpopo,14,757.89,436.99,784.89
TX2501083606,2025-01-08,Rump Steak,Fresh,Nelspruit,Mpumalanga,15,2014.8,1334.69,2212.98
TX2501085782,2025-01-08,Rump Steak,Fresh,Pretoria,Gauteng,9,1191.0,824.33,1159.16
TX2501082345,2025-01-08,Lamb Stew,RTE,Johannesburg,Gauteng,11,1217.48,762.56,1316.6
TX2501084773,2025-01-08,Lamb Stew,RTE,Pretoria,Gauteng,11,1190.93,727.92,1176.65
TX2501082181,2025-01-08,Beef Mince,Fresh,Polokwane,Limpopo,13,1255.69,815.49,1135.09
TX2501083938,2025-01-08,Lamb Stew,RTE,Nelspruit,Mpumalanga,19,2148.13,1458.78,2039.3
TX2501087892,2025-01-08,Rump Steak,Fresh,Johannesburg,Gauteng,12,1583.57,938.31,1638.91
TX2501089192,2025-01-08,Boerewors,Processed,Nelspruit,Mpumalanga,14,913.83,598.75,996.61
TX2501081577,2025-01-08,Pork Chops,Fresh,Johannesburg,Gauteng,12,947.74,660.02,928.72
TX2501087168,2025-01-08,Beef Mince,Fresh,Pretoria,Gauteng,14,1316.71,897.03,1345.74
TX2501083952,2025-01-08,Beef Mince,Fresh,Pretoria,Gauteng,16,1573.81,994.15,1570.61
TX2501086689,2025-01-08,Beef Mince,Fresh,Pretoria,Gauteng,8,740.56,508.69,803.34
TX2501089969,2025-01-08,Beef Mince,Fresh,Nelspruit,Mpumalanga,14,1362.58,905.28,1357.3
TX2501085107,2025-01-08,Russians,Processed,Johannesburg,Gauteng,19,867.38,514.7,825.37
TX2501086916,2025-01-08,Chicken Wings,Fresh,Johannesburg,Gauteng,11,587.99,399.3,548.91
TX2501081067,2025-01-08,Russians,Processed,Pretoria,Gauteng,6,278.03,187.91,257.92
TX2501085054,2025-01-08,Lamb Stew,RTE,Nelspruit,Mpumalanga,6,652.74,377.86,607.57
TX2501084804,2025-01-08,Rump Steak,Fresh,Polokwane,Limpopo,26,3661.95,2552.83,3346.76
TX2501085285,2025-01-08,Rump Steak,Fresh,Polokwane,Limpopo,14,1846.65,1199.43,1703.29
TX2501088491,2025-01-08,Rump Steak,Fresh,Johannesburg,Gauteng,15,2009.51,1271.67,2009.82
TX2501081213,2025-01-08,Beef Mince,Fresh,Johannesburg,Gauteng,12,1196.09,750.51,1099.25
TX2501093672,2025-01-09,Lamb Stew,RTE,Johannesburg,Gauteng,16,1728.03,1060.52,1573.0
TX2501097049,2025-01-09,Chicken Wings,Fresh,Pretoria,Gauteng,6,339.49,229.09,361.3
TX2501097429,2025-01-09,Rump Steak,Fresh,Pretoria,Gauteng,16,2213.75,1380.69,2387.76
TX2501092295,2025-01-09,Russians,Processed,Pretoria,Gauteng,12,518.19,296.94,521.7
TX2501091781,2025-01-09,Beef Mince,Fresh,Polokwane,Limpopo,14,1263.57,841.78,1146.02
TX2501096869,2025-01-09,Chicken Wings,Fresh,Pretoria,Gauteng,20,1063.48,608.34,1140.22
TX2501091390,2025-01-09,Beef Mince,Fresh,Nelspruit,Mpumalanga,10,980.32,597.18,1026.94
TX2501093316,2025-01-09,Mini Ribs,RTE,Johannesburg,Gauteng,12,1068.45,707.89,1060.9
TX2501096837,2025-01-09,Beef Mince,Fresh,Pretoria,Gauteng,1,92.23,52.37,84.59
TX2501092586,2025-01-09,Russians,Processed,Pretoria,Gauteng,17,789.72,481.55,867.17
TX2501099260,2025-01-09,Russians,Processed,Polokwane,Limpopo,9,402.92,274.49,441.25
TX2501098854,2025-01-09,Chicken Wings,Fresh,Nelspruit,Mpumalanga,4,213.86,138.67,204.84
TX2501094455,2025-01-09,Beef Mince,Fresh,Johannesburg,Gauteng,7,668.39,438.85,605.1
TX2501091445,2025-01-09,Russians,Processed,Johannesburg,Gauteng,6,269.63,158.82,265.24
TX2501092419,2025-01-09,Beef Mince,Fresh,Nelspruit,Mpumalanga,3,286.74,169.35,288.0
TX2501093832,2025-01-09,Chicken Wings,Fresh,Polokwane,Limpopo,16,895.55,501.43,806.19
TX2501098002,2025-01-09,Mini Ribs,RTE,Polokwane,Limpopo,10,903.02,617.25,897.59
TX2501095284,2025-01-09,Boerewors,Processed,Nelspruit,Mpumalanga,10,621.37,361.81,632.03
TX2501099030,2025-01-09,Chicken Wings,Fresh,Polokwane,Limpopo,7,373.99,217.31,368.21
TX2501092585,2025-01-09,Mini Ribs,RTE,Johannesburg,Gauteng,11,1014.27,606.59,986.02
TX2501099363,2025-01-09,Boerewors,Processed,Polokwane,Limpopo,23,1459.84,847.89,1573.23
TX2501099366,2025-01-09,Pork Chops,Fresh,Polokwane,Limpopo,1,74.94,42.51,76.73
TX2501091930,2025-01-09,Chicken Wings,Fresh,Polokwane,Limpopo,18,1015.17,638.45,1116.01
TX2501091397,2025-01-09,Russians,Processed,Pretoria,Gauteng,14,618.91,428.47,628.42
TX2501093933,2025-01-09,Rump Steak,Fresh,Nelspruit,Mpumalanga,9,1273.15,794.51,1393.05
TX2501094426,2025-01-09,Chicken Wings,Fresh,Nelspruit,Mpumalanga,13,721.06,410.43,695.26
TX2501091279,2025-01-09,Boerewors,Processed,Polokwane,Limpopo,19,1280.22,773.0,1256.84
TX2501094883,2025-01-09,Pork Chops,Fresh,Pretoria,Gauteng,12,975.95,673.32,954.77
TX2501094452,2025-01-09,Russians,Processed,Pretoria,Gauteng,16,724.89,470.32,732.78
TX2501093886,2025-01-09,Chicken Wings,Fresh,Pretoria,Gauteng,15,814.98,459.81,760.55
TX2501098023,2025-01-09,Pork Chops,Fresh,Johannesburg,Gauteng,12,909.28,603.15,865.17
TX2501098440,2025-01-09,Pork Chops,Fresh,Johannesburg,Gauteng,15,1181.4,768.31,1075.68
TX2501099290,2025-01-09,Lamb Stew,RTE,Nelspruit,Mpumalanga,10,1146.63,631.44,1040.81
TX2501097123,2025-01-09,Pork Chops,Fresh,Nelspruit,Mpumalanga,13,965.99,639.02,1034.02
TX2501096109,2025-01-09,Boerewors,Processed,Pretoria,Gauteng,15,926.78,555.7,996.99
TX2501094357,2025-01-09,Russians,Processed,Nelspruit,Mpumalanga,16,703.46,403.85,742.14
TX2501091690,2025-01-09,Boerewors,Processed,Pretoria,Gauteng,13,884.33,599.88,829.08
TX2501096347,2025-01-09,Rump Steak,Fresh,Nelspruit,Mpumalanga,12,1599.66,904.07,1699.15
TX2501097564,2025-01-09,Pork Chops,Fresh,Pretoria,Gauteng,10,817.61,501.81,796.35
TX2501102990,2025-01-10,Boerewors,Processed,Pretoria,Gauteng,6,401.5,237.95,385.74
TX2501108868,2025-01-10,Russians,Processed,Johannesburg,Gauteng,10,450.92,279.37,468.07
TX2501108113,2025-01-10,Pork Chops,Fresh,Polokwane,Limpopo,9,693.35,385.51,688.04
TX2501105699,2025-01-10,Pork Chops,Fresh,Nelspruit,Mpumalanga,4,300.76,173.92,291.38
TX2501103021,2025-01-10,Boerewors,Processed,Polokwane,Limpopo,16,1030.12,717.13,943.74
TX2501106864,2025-01-10,Russians,Processed,Johannesburg,Gauteng,25,1140.1,700.42,1124.38
TX2501105306,2025-01-10,Beef Mince,Fresh,Polokwane,Limpopo,9,897.2,498.9,934.13
TX2501103715,2025-01-10,Rump Steak,Fresh,Johannesburg,Gauteng,11,1417.45,978.58,1513.12
TX2501109431,2025-01-10,Rump Steak,Fresh,Polokwane,Limpopo,15,2092.78,1318.94,2266.79
TX2501106106,2025-01-10,Boerewors,Processed,Nelspruit,Mpumalanga,10,646.43,361.66,707.03
TX2501102781,2025-01-10,Beef Mince,Fresh,Pretoria,Gauteng,10,929.67,524.47,997.96
TX2501107369,2025-01-10,Rump Steak,Fresh,Polokwane,Limpopo,4,565.7,382.6,615.86
TX2501104492,2025-01-10,Lamb Stew,RTE,Polokwane,Limpopo,13,1436.53,983.79,1572.08
TX2501107342,2025-01-10,Pork Chops,Fresh,Pretoria,Gauteng,1,77.66,47.21,75.51
TX2501106113,2025-01-10,Boerewors,Processed,Pretoria,Gauteng,18,1120.56,691.29,1217.08
TX2501106509,2025-01-10,Russians,Processed,Nelspruit,Mpumalanga,9,391.13,227.2,428.34
TX2501108839,2025-01-10,Russians,Processed,Polokwane,Limpopo,11,516.59,302.44,470.01
